tissue_cell,proteins,detected,det_o_test
NASOPHARYNX - respiratory epithelial cells,12791,8916,0.697052615
ORAL MUCOSA - squamous epithelial cells,13190,7688,0.582865807
OVARY - follicle cells,7620,4020,0.527559055
OVARY - ovarian stroma cells,13315,4800,0.360495682
PANCREAS - exocrine glandular cells,13329,8626,0.647160327
PANCREAS - islets of Langerhans,12777,6927,0.542146044
PARATHYROID GLAND - glandular cells,12814,7310,0.570469799
PITUITARY GLAND - cells in anterior ,54,51,0.944444444
PITUITARY GLAND - cells in posterior ,7,2,0.285714286
PLACENTA - decidual cells,10130,5844,0.576900296
PLACENTA - trophoblastic cells,13341,8528,0.639232441
PROSTATE - glandular cells,13296,8224,0.618531889
RECTUM - glandular cells,13282,9509,0.715931336
RETINA - cells in inner nuclear layer ,92,14,0.152173913
RETINA - cells in photoreceptor layer ,92,64,0.695652174
RETINA - ganglion cells ,90,8,0.088888889
RETINA - limiting membrane,92,7,0.076086957
RETINA - nerve fibers in inner plexiform layer,91,19,0.208791209
RETINA - nerve fibers in nerve fiber layer,92,23,0.25
RETINA - nerve fibers in outer plexiform layer ,90,26,0.288888889
RETINA - pigment epithelium,78,6,0.076923077
SALIVARY GLAND - glandular cells,13324,8502,0.638096668
SEMINAL VESICLE - glandular cells,13100,8456,0.645496183
SKELETAL MUSCLE - myocytes,13334,7331,0.54979751
SKIN - epidermal cells,13157,8378,0.6367713
SKIN - fibroblasts,13133,6023,0.458615701
SKIN - keratinocytes,13210,7594,0.574867525
SKIN - Langerhans,13204,5841,0.44236595
SKIN - melanocytes,13200,6783,0.513863636
SKIN - sebaceous cells,10,6,0.6
SKIN - secretory cells,10,6,0.6
SKIN - sweat ducts,10,4,0.4
SMALL INTESTINE - glandular cells,13336,9633,0.722330534
SMOOTH MUSCLE - smooth muscle cells,13341,6744,0.505509332
SOFT TISSUE - chondrocytes,8600,3635,0.422674419
SOFT TISSUE - fibroblasts,15386,6860,0.445859873
SOFT TISSUE - peripheral nerve,13794,5669,0.410975787
SOLE OF FOOT - epidermal cells,1,1,1
SPLEEN - cells in red pulp,13341,6392,0.479124503
SPLEEN - cells in white pulp,13254,5180,0.390825411
STOMACH - glandular cells,16242,12016,0.739810368
SUBSTANTIA NIGRA - glial cells,1,0,0
SUBSTANTIA NIGRA - neuronal cells,1,1,1
SUBSTANTIA NIGRA - neuronal projections,1,1,1
SUBSTANTIA NIGRA - synapses,1,1,1
TESTIS - cells in seminiferous ducts,12837,9242,0.719950144
TESTIS - elongated or late spermatids,597,399,0.668341709
TESTIS - Leydig cells,13343,9232,0.691898374
TESTIS - pachytene spermatocytes,597,396,0.663316583
TESTIS - peritubular cells,597,81,0.135678392
TESTIS - preleptotene spermatocytes,597,344,0.576214405
TESTIS - round or early spermatids,597,442,0.740368509
TESTIS - sertoli cells,597,111,0.185929648
TESTIS - spermatogonia cells,597,331,0.554438861
THYMUS - cortical cells,18,18,1
THYMUS - medullary cells,18,17,0.944444444
THYROID GLAND - glandular cells,13340,8900,0.667166417
TONSIL - germinal center cells,13175,7175,0.54459203
TONSIL - non-germinal center cells,13322,7327,0.549992494
TONSIL - squamous epithelial cells,12970,8182,0.630840401
URINARY BLADDER - urothelial cells,13260,9043,0.681975867
VAGINA - squamous epithelial cells,13250,7368,0.556075472
